iter	Passed	Remaining
441	1324	1672
442	1326	1668
443	1334	1671
444	1336	1667
445	1338	1662
446	1340	1658
447	1343	1655
448	1349	1655
449	1351	1651
450	1354	1648
451	1356	1644
452	1358	1640
453	1369	1646
454	1371	1643
455	1374	1639
456	1380	1640
457	1383	1636
458	1385	1632
459	1387	1628
460	1393	1629
461	1398	1628
462	1403	1627
463	1404	1622
464	1410	1622
465	1411	1617
466	1413	1612
467	1414	1608
468	1417	1604
469	1418	1599
470	1420	1594
471	1424	1592
472	1425	1588
473	1427	1583
474	1428	1579
475	1430	1574
476	1431	1569
477	1433	1565
478	1435	1561
479	1440	1560
480	1441	1555
481	1443	1551
482	1444	1546
483	1446	1542
484	1447	1537
485	1449	1533
486	1454	1532
487	1456	1527
488	1457	1523
489	1459	1518
490	1462	1516
491	1464	1511
492	1465	1507
493	1467	1502
494	1468	1498
495	1469	1493
496	1471	1488
497	1472	1484
498	1473	1479
499	1479	1479
500	1481	1475
501	1482	1471
502	1484	1466
503	1485	1462
504	1487	1457
505	1488	1453
506	1490	1448
507	1493	1446
508	1494	1442
509	1496	1438
510	1498	1433
511	1500	1429
512	1501	1425
513	1503	1421
514	1505	1417
515	1508	1415
516	1510	1411
517	1511	1406
518	1513	1402
519	1514	1398
520	1515	1393
521	1517	1389
522	1518	1385
523	1520	1380
524	1523	1378
525	1525	1374
526	1526	1370
527	1528	1366
528	1529	1361
529	1530	1357
530	1533	1354
531	1538	1353
532	1540	1349
533	1541	1345
534	1542	1341
535	1544	1336
536	1545	1332
537	1547	1328
538	1548	1324
539	1549	1320
540	1553	1318
541	1555	1314
542	1556	1309
543	1557	1305
544	1559	1301
545	1561	1298
546	1562	1294
547	1563	1289
548	1565	1286
549	1568	1283
550	1570	1279
551	1571	1275
552	1572	1271
553	1574	1267
554	1575	1263
555	1577	1259
556	1578	1255
557	1580	1251
558	1581	1247
559	1583	1243
560	1584	1239
561	1585	1235
562	1587	1231
563	1588	1228
564	1589	1224
565	1591	1220
566	1592	1216
567	1596	1214
568	1598	1210
569	1599	1206
570	1601	1203
571	1602	1199
572	1604	1195
573	1606	1192
574	1608	1188
575	1612	1186
576	1613	1182
577	1614	1178
578	1616	1175
579	1617	1171
580	1619	1167
581	1620	1163
582	1621	1160
583	1623	1156
584	1626	1154
585	1628	1150
586	1629	1146
587	1631	1142
588	1633	1140
589	1635	1136
590	1636	1132
591	1638	1129
592	1641	1126
593	1643	1123
594	1644	1119
595	1645	1115
596	1647	1112
597	1648	1108
598	1650	1104
599	1651	1100
600	1652	1097
601	1654	1093
602	1657	1091
603	1659	1087
604	1661	1084
605	1662	1081
606	1664	1077
607	1665	1074
608	1667	1070
609	1671	1068
610	1672	1065
611	1674	1061
612	1676	1058
613	1677	1054
614	1678	1051
615	1680	1047
616	1681	1043
617	1683	1040
618	1685	1037
619	1688	1034
620	1690	1031
621	1692	1028
622	1693	1024
623	1695	1021
624	1696	1018
625	1698	1014
626	1703	1013
627	1704	1009
628	1705	1006
629	1707	1002
630	1708	999
631	1710	995
632	1711	992
633	1712	988
634	1714	985
635	1717	983
636	1719	979
637	1720	976
638	1722	973
639	1724	969
640	1725	966
641	1726	963
642	1728	959
643	1732	957
644	1734	954
645	1736	951
646	1737	947
647	1738	944
648	1740	941
649	1741	937
650	1742	934
651	1744	931
652	1746	928
653	1747	924
654	1749	921
655	1751	918
656	1752	914
657	1753	911
658	1755	908
659	1756	904
660	1757	901
661	1761	899
662	1763	896
663	1764	893
664	1766	890
665	1768	886
666	1769	883
667	1770	880
668	1772	877
669	1776	874
670	1778	871
671	1779	868
672	1781	865
673	1782	862
674	1784	859
675	1786	856
676	1787	853
677	1792	851
678	1793	847
679	1794	844
680	1796	841
681	1797	838
682	1799	835
683	1800	831
684	1802	828
685	1804	826
686	1806	823
687	1807	819
688	1809	816
689	1810	813
690	1812	810
691	1813	807
692	1814	804
693	1816	800
694	1818	797
695	1820	795
696	1822	792
697	1823	789
698	1825	785
699	1826	782
700	1827	779
701	1829	776
702	1831	773
703	1836	771
704	1837	768
705	1838	765
706	1840	762
707	1841	759
708	1843	756
709	1844	753
710	1846	750
711	1847	747
712	1850	744
713	1852	741
714	1853	738
715	1855	735
716	1856	732
717	1858	729
718	1859	726
719	1861	723
720	1862	720
721	1866	718
722	1867	715
723	1869	712
724	1874	710
725	1875	707
726	1877	704
727	1882	703
728	1884	700
729	1886	697
730	1888	694
731	1889	691
732	1891	688
733	1896	687
734	1899	684
735	1900	681
736	1902	678
737	1903	675
738	1905	672
739	1906	669
740	1908	667
741	1914	665
742	1915	662
743	1917	659
744	1918	656
745	1919	653
746	1921	650
747	1922	647
748	1929	646
749	1932	644
750	1934	641
751	1937	638
752	1943	637
753	1944	634
754	1946	631
755	1948	628
756	1952	626
757	1960	625
758	1962	623
759	1963	620
760	1965	617
761	1966	614
762	1967	611
763	1971	609
764	1977	607
765	1978	604
766	1980	601
767	1981	598
768	1983	595
769	1991	594
770	1994	592
771	1996	589
772	1998	586
773	2007	586
774	2009	583
775	2011	580
776	2013	577
777	2014	574
778	2021	573
779	2023	570
780	2025	567
781	2026	564
782	2028	562
783	2029	559
784	2037	558
785	2039	555
786	2041	552
787	2042	549
788	2044	546
789	2045	543
790	2050	541
791	2052	538
792	2053	536
793	2054	533
794	2056	530
795	2057	527
796	2059	524
797	2060	521
798	2065	519
799	2067	516
800	2068	513
801	2070	511
802	2071	508
803	2073	505
804	2075	502
805	2079	500
806	2081	497
807	2082	494
808	2084	492
809	2085	489
810	2086	486
811	2088	483
812	2089	480
813	2090	477
814	2094	475
815	2095	472
816	2096	469
817	2098	466
818	2099	464
819	2101	461
820	2102	458
821	2104	455
822	2105	452
823	2107	450
824	2109	447
825	2110	444
826	2112	441
827	2113	439
828	2115	436
829	2116	433
830	2117	430
831	2119	427
832	2120	425
833	2124	422
834	2125	420
835	2127	417
836	2128	414
837	2131	412
838	2133	409
839	2134	406
840	2135	403
841	2139	401
842	2140	398
843	2141	395
844	2143	393
845	2144	390
846	2146	387
847	2147	384
848	2148	382
849	2150	379
850	2153	376
851	2154	374
852	2156	371
853	2157	368
854	2158	366
855	2160	363
856	2161	360
